sample,point,disc,age,uncert,hfhf,hfhfse,luhf
SA13_114,SA13_114-06,-42.6,282,5,,,
SA13_114,SA13_114-65,-20.1,2077,49,,,
SA13_114,SA13_114-01,-15.5,1620,16,,,
SA13_114,SA13_114-28,-13.1,548,9,,,
SA13_114,SA13_114-60,-12.1,824,8,,,
SA13_114,SA13_114-16,-34.1,285,6,,,
SA13_114,SA13_114-33,-26.6,291,6,,,
SA13_114,SA13_114-32,-37.9,306,8,,,
SA13_114,SA13_114-41,-57.4,319,4,,,
SA13_114,SA13_114-70,-69.6,294,15,,,
SA13_114,SA13_114-73,-89,513,28,,,
SA13_114,SA13_114-03,4.6,538,10,,,
SA13_114,SA13_114-04,5.9,504,12,,,
SA13_114,SA13_114-05,8.6,561,9,,,
SA13_114,SA13_114-07,-5,257,5,,,
SA13_114,SA13_114-09,-10.3,277,5,,,
SA13_114,SA13_114-10,-10.7,564,8,,,
SA13_114,SA13_114-12,-20.4,552,17,,,
SA13_114,SA13_114-13,-15.3,284,4,,,
SA13_114,SA13_114-14,4.9,634,8,,,
SA13_114,SA13_114-15,-11.5,526,9,,,
SA13_114,SA13_114-17,2.4,1881,14,,,
SA13_114,SA13_114-18,-32.3,619,22,,,
SA13_114,SA13_114-19,-24.8,281,7,,,
SA13_114,SA13_114-20,0.6,747,10,,,
SA13_114,SA13_114-21,-14.1,523,10,,,
SA13_114,SA13_114-22,-0.1,938,13,,,
SA13_114,SA13_114-23,-3.6,618,10,,,
SA13_114,SA13_114-24,-27.8,300,8,,,
SA13_114,SA13_114-25,-13.9,266,6,,,
SA13_114,SA13_114-26,-4.6,563,9,,,
SA13_114,SA13_114-27,5.2,269,7,,,
SA13_114,SA13_114-29,3.5,1046,14,,,
SA13_114,SA13_114-30,-3.3,603,11,,,
SA13_114,SA13_114-31,-3.7,290,7,,,
SA13_114,SA13_114-34,-2.6,1100,17,,,
SA13_114,SA13_114-35,-8.3,547,9,,,
SA13_114,SA13_114-36,-2.9,305,6,,,
SA13_114,SA13_114-37,-1.5,248,5,,,
SA13_114,SA13_114-38,-40.5,278,6,,,
SA13_114,SA13_114-39,8.2,508,9,,,
SA13_114,SA13_114-40,-29.6,252,6,,,
SA13_114,SA13_114-42,7.9,603,8,,,
SA13_114,SA13_114-45,-4.1,496,15,,,
SA13_114,SA13_114-46,-4.3,359,3,,,
SA13_114,SA13_114-47,-4.2,604,10,,,
SA13_114,SA13_114-52,-9.7,258,4,,,
SA13_114,SA13_114-53,-9.1,280,5,,,
SA13_114,SA13_114-54,-8.8,562,7,,,
SA13_114,SA13_114-55,-7.1,593,7,,,
SA13_114,SA13_114-56,1.1,600,5,,,
SA13_114,SA13_114-57,17.6,264,6,,,
SA13_114,SA13_114-58,-5.4,493,9,,,
SA13_114,SA13_114-59,-14.9,255,5,,,
SA13_114,SA13_114-61,-4,989,36,,,
SA13_114,SA13_114-62,-3.2,261,15,,,
SA13_114,SA13_114-63,-10.4,691,30,,,
SA13_114,SA13_114-64,-12.2,278,15,,,
SA13_114,SA13_114-66,-26,260,13,,,
SA13_114,SA13_114-67,55,241,14,,,
SA13_114,SA13_114-68,-1.4,548,25,,,
SA13_114,SA13_114-69,-21.9,269,18,,,
SA13_114,SA13_114-71,-1.6,465,21,,,
SA13_114,SA13_114-72,-44.6,263,14,,,
SA13_114,SA13_114-11,6.4,573,6,,,
SA13_114,SA13_114-43,7.3,696,7,,,
SA13_114,SA13_114-51,13.5,512,8,,,
SA13_114,SA13_114-44,53.3,283,10,,,
SA13_114,SA13_114-02,70.5,248,5,,,
SA13_123,SA13_123-05,-34.1,757,12,,,
SA13_123,SA13_123-10,-26.6,506,10,0.282354,1.8E-05,0.00156
SA13_123,SA13_123-03,-21.1,633,7,0.281566,1.3E-05,0.00115
SA13_123,SA13_123-39,-32.9,288,3,,,
SA13_123,SA13_123-04,-85.3,269,7,0.28249,1.7E-05,0.00276
SA13_123,SA13_123-02,-1.3,1055,17,0.282188,2.7E-05,0.00179
SA13_123,SA13_123-06,-2.7,855,11,0.282304,1.2E-05,0.00074
SA13_123,SA13_123-07,3.2,1268,16,,,
SA13_123,SA13_123-08,6.1,276,4,0.282566,8E-06,0.00115
SA13_123,SA13_123-09,-2.8,638,7,,,
SA13_123,SA13_123-12,-0.3,1968,10,0.281519,2.3E-05,0.00083
SA13_123,SA13_123-13,-0.6,1982,32,,,
SA13_123,SA13_123-15,6.4,445,6,,,
SA13_123,SA13_123-16,10.4,542,8,0.281909,1.9E-05,0.0046
SA13_123,SA13_123-17,-1.6,1153,17,,,
SA13_123,SA13_123-18,5.1,552,9,,,
SA13_123,SA13_123-20,0.3,621,10,,,
SA13_123,SA13_123-21,0.5,1028,17,,,
SA13_123,SA13_123-22,-21,286,5,,,
SA13_123,SA13_123-23,19.4,272,7,0.282473,1.4E-05,0.00166
SA13_123,SA13_123-24,-0.9,324,6,0.282609,1.2E-05,0.00144
SA13_123,SA13_123-25,-6.7,515,10,0.282383,1.7E-05,0.00388
SA13_123,SA13_123-26,-3.5,1116,23,,,
SA13_123,SA13_123-27,4.6,1067,22,,,
SA13_123,SA13_123-28,3,684,16,,,
SA13_123,SA13_123-30,-3.5,510,11,,,
SA13_123,SA13_123-32,4,1138,14,,,
SA13_123,SA13_123-33,2.5,2045,18,,,
SA13_123,SA13_123-37,0.1,958,18,,,
SA13_123,SA13_123-40,-8.7,483,6,,,
SA13_123,SA13_123-41,-19.6,227,3,,,
SA13_123,SA13_123-43,-17.2,278,5,,,
SA13_123,SA13_123-44,-7.1,623,11,,,
SA13_123,SA13_123-45,5.1,490,8,,,
SA13_123,SA13_123-31,9.1,1301,18,0.282154,2.3E-05,0.00398
SA13_123,SA13_123-01,19.5,576,8,,,
SA13_123,SA13_123-36,18.4,603,6,0.282195,1.7E-05,0.00154
SA13_123,SA13_123-05,-34.1,757,12,,,
SA13_123,SA13_123-10,-26.6,506,10,0.282354,1.8E-05,0.00156
SA13_123,SA13_123-03,-21.1,633,7,0.281566,1.3E-05,0.00115
SA13_123,SA13_123-39,-32.9,288,3,,,
SA13_123,SA13_123-04,-85.3,269,7,0.28249,1.7E-05,0.00276
SA13_123,SA13_123-02,-1.3,1055,17,0.282188,2.7E-05,0.00179
SA13_123,SA13_123-06,-2.7,855,11,0.282304,1.2E-05,0.00074
SA13_123,SA13_123-07,3.2,1268,16,,,
SA13_123,SA13_123-08,6.1,276,4,0.282566,8E-06,0.00115
SA13_123,SA13_123-09,-2.8,638,7,,,
SA13_123,SA13_123-12,-0.3,1968,10,0.281519,2.3E-05,0.00083
SA13_123,SA13_123-13,-0.6,1982,32,,,
SA13_123,SA13_123-15,6.4,445,6,,,
SA13_123,SA13_123-16,10.4,542,8,0.281909,1.9E-05,0.0046
SA13_123,SA13_123-17,-1.6,1153,17,,,
SA13_123,SA13_123-18,5.1,552,9,,,
SA13_123,SA13_123-20,0.3,621,10,,,
SA13_123,SA13_123-21,0.5,1028,17,,,
SA13_123,SA13_123-22,-21,286,5,,,
SA13_123,SA13_123-23,19.4,272,7,0.282473,1.4E-05,0.00166
SA13_123,SA13_123-24,-0.9,324,6,0.282609,1.2E-05,0.00144
SA13_123,SA13_123-25,-6.7,515,10,0.282383,1.7E-05,0.00388
SA13_123,SA13_123-26,-3.5,1116,23,,,
SA13_123,SA13_123-27,4.6,1067,22,,,
SA13_123,SA13_123-28,3,684,16,,,
SA13_123,SA13_123-30,-3.5,510,11,,,
SA13_123,SA13_123-32,4,1138,14,,,
SA13_123,SA13_123-33,2.5,2045,18,,,
SA13_123,SA13_123-37,0.1,958,18,,,
SA13_123,SA13_123-40,-8.7,483,6,,,
SA13_123,SA13_123-41,-19.6,227,3,,,
SA13_123,SA13_123-43,-17.2,278,5,,,
SA13_123,SA13_123-44,-7.1,623,11,,,
SA13_123,SA13_123-45,5.1,490,8,,,
SA13_123,SA13_123-31,9.1,1301,18,0.282154,2.3E-05,0.00398
SA13_123,SA13_123-01,19.5,576,8,,,
SA13_123,SA13_123-36,18.4,603,6,0.282195,1.7E-05,0.00154
SA13-108,SA13-108-99,-60.3,694,20,0.28244,1E-05,0.00041
SA13-108,SA13-108-49,-42,574,9,0.282494,1.2E-05,0.00026
SA13-108,SA13_108-39,-32.5,856,18,0.282322,9E-06,0.00073
SA13-108,SA13-108-47,-27,528,21,0.282262,1.7E-05,0.00062
SA13-108,SA13-108-58,-22,703,16,0.282509,1.1E-05,0.00059
SA13-108,SA13-108-78,-21.6,560,12,0.281812,1E-05,0.0004
SA13-108,SA13-108-82,-20.9,499,12,0.282399,1.1E-05,0.0006
SA13-108,SA13-108-93,-20.5,485,10,0.282346,1E-05,0.00038
SA13-108,SA13_108-02,-20.1,900,9,0.282247,1.1E-05,0.00139
SA13-108,SA13_108-33,-19.8,2138,20,0.280836,1E-05,0.0003
SA13-108,SA13_108-14,-17.5,637,14,0.28256,8E-06,0.00198
SA13-108,SA13-108-96,-17.5,534,21,0.282451,1.1E-05,0.00039
SA13-108,SA13_108-13,-15.2,587,10,0.282426,8E-06,3E-05
SA13-108,SA13_108-17,-14.9,710,14,0.282353,1.1E-05,0.00084
SA13-108,SA13_108-44,-14.9,546,13,0.282426,1.1E-05,0.00018
SA13-108,SA13_108-43,-14.6,611,16,0.282451,9E-06,0.00091
SA13-108,SA13-108-64,-14.4,1059,25,0.282367,1E-05,0.00074
SA13-108,SA13_108-15,-12.3,984,14,0.281736,1.1E-05,0.00068
SA13-108,SA13_108-42,-20.3,278,5,0.282311,1.5E-05,0.00047
SA13-108,SA13-108-84,-11.7,609,14,0.282392,1.1E-05,0.00019
SA13-108,SA13_108-22,-11.4,549,10,0.2825,1E-05,0.0007
SA13-108,SA13_108-55,-10.4,522,13,0.282462,1.3E-05,0.00072
SA13-108,SA13_108-32,-10.2,696,13,0.282434,1.2E-05,0.00109
SA13-108,SA13_108-11,-10,554,14,0.282456,9E-06,0.00031
SA13-108,SA13_108-27,-9.9,938,15,0.282198,1.5E-05,0.00105
SA13-108,SA13_108-21,-9.5,1008,20,0.282394,1.2E-05,0.00081
SA13-108,SA13_108-20,-9.2,967,12,0.282339,7E-06,0.00076
SA13-108,SA13_108-31,-8.8,559,9,0.282412,1.1E-05,0.00137
SA13-108,SA13_108-29,-8.6,594,12,0.282329,1.1E-05,0.00045
SA13-108,SA13-108-53,-8.6,674,13,0.28243,8E-06,0.00043
SA13-108,SA13_108-04,-8.5,1039,16,0.281633,1E-05,0.00103
SA13-108,SA13_108-25,-8.3,933,16,0.282233,1E-05,0.00063
SA13-108,SA13-108-69,-8,986,19,0.282445,1.6E-05,0.00186
SA13-108,SA13-108-76,-7.8,581,15,0.282301,1E-05,2E-05
SA13-108,SA13_108-16,-7.5,1065,14,0.281984,1E-05,0.00066
SA13-108,SA13-108-59,-7.4,998,27,0.28225,8E-06,0.00104
SA13-108,SA13_108-24,-7.1,1024,16,0.282192,1.1E-05,0.0006
SA13-108,SA13_108-30,-6.5,673,12,0.282428,1.2E-05,0.00184
SA13-108,SA13-108-48,-6.1,1021,16,0.282468,1.4E-05,0.00162
SA13-108,SA13_108-26,-5.5,701,11,0.282468,8E-06,0.0006
SA13-108,SA13-108-73,-5.1,947,15,0.282177,1.1E-05,0.00058
SA13-108,SA13-108-70,-4.6,509,9,0.282358,1E-05,0.00034
SA13-108,SA13-108-86,-4.6,526,12,0.28233,1E-05,0.0005
SA13-108,SA13_108-23,-4.4,548,18,0.282451,1.2E-05,0.00092
SA13-108,SA13-108-62,-4.4,989,23,0.282345,1E-05,0.00131
SA13-108,SA13-108-81,-4.2,576,10,0.282447,9E-06,0.0004
SA13-108,SA13-108-46,-3.6,660,14,0.282444,9E-06,0.00065
SA13-108,SA13-108-57,-2.7,990,18,0.282307,1.1E-05,0.00034
SA13-108,SA13-108-79,-2.6,1067,17,0.281766,1.1E-05,0.00097
SA13-108,SA13-108-85,-2.6,1095,18,0.282212,1E-05,0.00066
SA13-108,SA13-108-56,-2.5,591,12,0.282217,2E-05,0.00333
SA13-108,SA13-108-88,-1.3,507,12,0.282219,1.5E-05,0.0004
SA13-108,SA13-108-61,-1,1111,20,0.282175,1E-05,0.00125
SA13-108,SA13-108-75,-0.8,506,11,0.282222,1.3E-05,0.00047
SA13-108,SA13-108-83,-0.7,1010,13,0.28235,1E-05,0.0005
SA13-108,SA13_108-36,-0.6,501,8,0.282382,1.1E-05,0.00045
SA13-108,SA13_108-40,-0.6,545,11,0.282182,1E-05,0.00044
SA13-108,SA13-108-71,-0.5,993,13,0.282355,1E-05,0.00071
SA13-108,SA13_108-18,-0.4,515,12,0.282337,1.1E-05,0.00042
SA13-108,SA13_108-41,-0.3,1049,20,0.28242,8E-06,0.00036
SA13-108,SA13_108-06,-0.1,506,6,0.28193,1.5E-05,0.00059
SA13-108,SA13-108-99rr,0.1,520,11,0.282449,1.1E-05,0.00031
SA13-108,SA13_108-01,0.2,1077,8,0.28238,1.2E-05,0.00075
SA13-108,SA13-108-89,0.5,1085,22,0.282237,1.1E-05,0.00072
SA13-108,SA13_108-37,1,1052,16,0.282431,1.2E-05,0.00035
SA13-108,SA13-108-45,1.1,583,9,0.282349,9E-06,0.00164
SA13-108,SA13-108-72,1.2,614,8,0.282451,1.1E-05,0.00038
SA13-108,SA13-108-98,1.2,597,10,0.28244,1E-05,0.00041
SA13-108,SA13_108-07,1.5,677,10,0.282309,1.4E-05,0.00164
SA13-108,SA13-108-91,1.5,590,10,0.282529,1.2E-05,0.0004
SA13-108,SA13_108-05,2.2,1097,13,0.282224,1E-05,0.00059
SA13-108,SA13_108-10,2.4,927,15,0.2824,1.6E-05,0.00023
SA13-108,SA13-108-92,2.4,528,9,0.282427,1.1E-05,5E-05
SA13-108,SA13-108-94,2.4,945,11,0.282204,1E-05,0.00075
SA13-108,SA13-108-54,2.5,914,15,0.282462,1.1E-05,0.00089
SA13-108,SA13_108-03,2.6,645,6,0.28254,1E-05,0.00066
SA13-108,SA13-108-90,3.1,614,12,0.282423,1.1E-05,0.00051
SA13-108,SA13-108-95,3.2,479,12,0.282208,1.1E-05,0.00051
SA13-108,SA13_108-09,4.7,1118,12,0.282231,1.1E-05,0.00166
SA13-108,SA13_108-35,5.5,498,9,0.282382,1.1E-05,0.00045
SA13-108,SA13-108-65,5.5,1054,21,0.282406,1E-05,0.0008
SA13-108,SA13-108-60,5.8,544,13,0.282512,1.1E-05,0.00041
SA13-108,SA13-108-87,6,1004,15,0.28242,1.2E-05,0.00121
SA13-108,SA13-108-77,7.3,532,16,0.282422,1E-05,0.00021
SA13-108,SA13-108-52,7.7,525,10,0.282451,8E-06,0.00063
SA13-108,SA13_108-08,8.8,1031,14,0.282391,1.1E-05,0.00065
SA13-108,SA13_108-34,9.1,497,9,0.282327,1.1E-05,0.00034
SA13-108,SA13_108-28,9.6,625,12,0.282424,8E-06,0.0003
SA13-108,SA13-108-68,10.6,1044,16,0.282104,1.3E-05,0.00071
SA13-108,SA13-108-80,11,524,8,0.282343,1.1E-05,0.00019
SA13-108,SA13_108-19,12.5,521,12,0.282489,1.3E-05,0.00035
SA13-108,SA13-108-97,12.7,1164,25,0.282216,1.1E-05,0.00125
SA13-108,SA13_108-12,15.5,567,12,0.282437,1.1E-05,0.0006
SA13-108,SA13-108-63,15.5,913,21,0.282404,1.1E-05,0.0018
SA13-108,SA13-108-48rr,15.7,674,21,0.282468,1.4E-05,0.00162
SA13-108,SA13-108-67,15.9,609,11,0.28245,1.4E-05,0.00069
SA13-108,SA13-108-50,22.1,588,11,0.282443,1.2E-05,0.00112
SA13-108,SA13-108-51,25.5,518,15,0.28243,1.1E-05,0.0008
SA13-108,SA13-108-74,27,675,18,0.282164,1.1E-05,0.00116
SA13-108,SA13-108-66,33.1,500,12,0.282388,9E-06,0.0005
SA13-108,SA13-108-99,-60.3,694,20,0.28244,1E-05,0.00041
SA13-108,SA13-108-49,-42,574,9,0.282494,1.2E-05,0.00026
SA13-108,SA13_108-39,-32.5,856,18,0.282322,9E-06,0.00073
SA13-108,SA13-108-47,-27,528,21,0.282262,1.7E-05,0.00062
SA13-108,SA13-108-58,-22,703,16,0.282509,1.1E-05,0.00059
SA13-108,SA13-108-78,-21.6,560,12,0.281812,1E-05,0.0004
SA13-108,SA13-108-82,-20.9,499,12,0.282399,1.1E-05,0.0006
SA13-108,SA13-108-93,-20.5,485,10,0.282346,1E-05,0.00038
SA13-108,SA13_108-02,-20.1,900,9,0.282247,1.1E-05,0.00139
SA13-108,SA13_108-33,-19.8,2138,20,0.280836,1E-05,0.0003
SA13-108,SA13_108-14,-17.5,637,14,0.28256,8E-06,0.00198
SA13-108,SA13-108-96,-17.5,534,21,0.282451,1.1E-05,0.00039
SA13-108,SA13_108-13,-15.2,587,10,0.282426,8E-06,3E-05
SA13-108,SA13_108-17,-14.9,710,14,0.282353,1.1E-05,0.00084
SA13-108,SA13_108-44,-14.9,546,13,0.282426,1.1E-05,0.00018
SA13-108,SA13_108-43,-14.6,611,16,0.282451,9E-06,0.00091
SA13-108,SA13-108-64,-14.4,1059,25,0.282367,1E-05,0.00074
SA13-108,SA13_108-15,-12.3,984,14,0.281736,1.1E-05,0.00068
SA13-108,SA13_108-42,-20.3,278,5,0.282311,1.5E-05,0.00047
SA13-108,SA13-108-84,-11.7,609,14,0.282392,1.1E-05,0.00019
SA13-108,SA13_108-22,-11.4,549,10,0.2825,1E-05,0.0007
SA13-108,SA13_108-55,-10.4,522,13,0.282462,1.3E-05,0.00072
SA13-108,SA13_108-32,-10.2,696,13,0.282434,1.2E-05,0.00109
SA13-108,SA13_108-11,-10,554,14,0.282456,9E-06,0.00031
SA13-108,SA13_108-27,-9.9,938,15,0.282198,1.5E-05,0.00105
SA13-108,SA13_108-21,-9.5,1008,20,0.282394,1.2E-05,0.00081
SA13-108,SA13_108-20,-9.2,967,12,0.282339,7E-06,0.00076
SA13-108,SA13_108-31,-8.8,559,9,0.282412,1.1E-05,0.00137
SA13-108,SA13_108-29,-8.6,594,12,0.282329,1.1E-05,0.00045
SA13-108,SA13-108-53,-8.6,674,13,0.28243,8E-06,0.00043
SA13-108,SA13_108-04,-8.5,1039,16,0.281633,1E-05,0.00103
SA13-108,SA13_108-25,-8.3,933,16,0.282233,1E-05,0.00063
SA13-108,SA13-108-69,-8,986,19,0.282445,1.6E-05,0.00186
SA13-108,SA13-108-76,-7.8,581,15,0.282301,1E-05,2E-05
SA13-108,SA13_108-16,-7.5,1065,14,0.281984,1E-05,0.00066
SA13-108,SA13-108-59,-7.4,998,27,0.28225,8E-06,0.00104
SA13-108,SA13_108-24,-7.1,1024,16,0.282192,1.1E-05,0.0006
SA13-108,SA13_108-30,-6.5,673,12,0.282428,1.2E-05,0.00184
SA13-108,SA13-108-48,-6.1,1021,16,0.282468,1.4E-05,0.00162
SA13-108,SA13_108-26,-5.5,701,11,0.282468,8E-06,0.0006
SA13-108,SA13-108-73,-5.1,947,15,0.282177,1.1E-05,0.00058
SA13-108,SA13-108-70,-4.6,509,9,0.282358,1E-05,0.00034
SA13-108,SA13-108-86,-4.6,526,12,0.28233,1E-05,0.0005
SA13-108,SA13_108-23,-4.4,548,18,0.282451,1.2E-05,0.00092
SA13-108,SA13-108-62,-4.4,989,23,0.282345,1E-05,0.00131
SA13-108,SA13-108-81,-4.2,576,10,0.282447,9E-06,0.0004
SA13-108,SA13-108-46,-3.6,660,14,0.282444,9E-06,0.00065
SA13-108,SA13-108-57,-2.7,990,18,0.282307,1.1E-05,0.00034
SA13-108,SA13-108-79,-2.6,1067,17,0.281766,1.1E-05,0.00097
SA13-108,SA13-108-85,-2.6,1095,18,0.282212,1E-05,0.00066
SA13-108,SA13-108-56,-2.5,591,12,0.282217,2E-05,0.00333
SA13-108,SA13-108-88,-1.3,507,12,0.282219,1.5E-05,0.0004
SA13-108,SA13-108-61,-1,1111,20,0.282175,1E-05,0.00125
SA13-108,SA13-108-75,-0.8,506,11,0.282222,1.3E-05,0.00047
SA13-108,SA13-108-83,-0.7,1010,13,0.28235,1E-05,0.0005
SA13-108,SA13_108-36,-0.6,501,8,0.282382,1.1E-05,0.00045
SA13-108,SA13_108-40,-0.6,545,11,0.282182,1E-05,0.00044
SA13-108,SA13-108-71,-0.5,993,13,0.282355,1E-05,0.00071
SA13-108,SA13_108-18,-0.4,515,12,0.282337,1.1E-05,0.00042
SA13-108,SA13_108-41,-0.3,1049,20,0.28242,8E-06,0.00036
SA13-108,SA13_108-06,-0.1,506,6,0.28193,1.5E-05,0.00059
SA13-108,SA13-108-99rr,0.1,520,11,0.282449,1.1E-05,0.00031
SA13-108,SA13_108-01,0.2,1077,8,0.28238,1.2E-05,0.00075
SA13-108,SA13-108-89,0.5,1085,22,0.282237,1.1E-05,0.00072
SA13-108,SA13_108-37,1,1052,16,0.282431,1.2E-05,0.00035
SA13-108,SA13-108-45,1.1,583,9,0.282349,9E-06,0.00164
SA13-108,SA13-108-72,1.2,614,8,0.282451,1.1E-05,0.00038
SA13-108,SA13-108-98,1.2,597,10,0.28244,1E-05,0.00041
SA13-108,SA13_108-07,1.5,677,10,0.282309,1.4E-05,0.00164
SA13-108,SA13-108-91,1.5,590,10,0.282529,1.2E-05,0.0004
SA13-108,SA13_108-05,2.2,1097,13,0.282224,1E-05,0.00059
SA13-108,SA13_108-10,2.4,927,15,0.2824,1.6E-05,0.00023
SA13-108,SA13-108-92,2.4,528,9,0.282427,1.1E-05,5E-05
SA13-108,SA13-108-94,2.4,945,11,0.282204,1E-05,0.00075
SA13-108,SA13-108-99,-60.3,694,20,0.28244,1E-05,0.00041
SA13-108,SA13-108-49,-42,574,9,0.282494,1.2E-05,0.00026
SA13-108,SA13_108-39,-32.5,856,18,0.282322,9E-06,0.00073
SA13-108,SA13-108-47,-27,528,21,0.282262,1.7E-05,0.00062
SA13-108,SA13-108-58,-22,703,16,0.282509,1.1E-05,0.00059
SA13-108,SA13-108-78,-21.6,560,12,0.281812,1E-05,0.0004
SA13-108,SA13-108-82,-20.9,499,12,0.282399,1.1E-05,0.0006
SA13-108,SA13-108-93,-20.5,485,10,0.282346,1E-05,0.00038
SA13-108,SA13_108-02,-20.1,900,9,0.282247,1.1E-05,0.00139
SA13-108,SA13_108-33,-19.8,2138,20,0.280836,1E-05,0.0003
SA13-108,SA13_108-14,-17.5,637,14,0.28256,8E-06,0.00198
SA13-108,SA13-108-96,-17.5,534,21,0.282451,1.1E-05,0.00039
SA13-108,SA13_108-13,-15.2,587,10,0.282426,8E-06,3E-05
SA13-108,SA13_108-17,-14.9,710,14,0.282353,1.1E-05,0.00084
SA13-108,SA13_108-44,-14.9,546,13,0.282426,1.1E-05,0.00018
SA13-108,SA13_108-43,-14.6,611,16,0.282451,9E-06,0.00091
SA13-108,SA13-108-64,-14.4,1059,25,0.282367,1E-05,0.00074
SA13-108,SA13_108-15,-12.3,984,14,0.281736,1.1E-05,0.00068
SA13-108,SA13_108-42,-20.3,278,5,0.282311,1.5E-05,0.00047
SA13-108,SA13-108-84,-11.7,609,14,0.282392,1.1E-05,0.00019
SA13-108,SA13_108-22,-11.4,549,10,0.2825,1E-05,0.0007
SA13-108,SA13_108-55,-10.4,522,13,0.282462,1.3E-05,0.00072
SA13-108,SA13_108-32,-10.2,696,13,0.282434,1.2E-05,0.00109
SA13-108,SA13_108-11,-10,554,14,0.282456,9E-06,0.00031
SA13-108,SA13_108-27,-9.9,938,15,0.282198,1.5E-05,0.00105
SA13-108,SA13_108-21,-9.5,1008,20,0.282394,1.2E-05,0.00081
SA13-108,SA13_108-20,-9.2,967,12,0.282339,7E-06,0.00076
SA13-108,SA13_108-31,-8.8,559,9,0.282412,1.1E-05,0.00137
SA13-108,SA13_108-29,-8.6,594,12,0.282329,1.1E-05,0.00045
SA13-108,SA13-108-53,-8.6,674,13,0.28243,8E-06,0.00043
SA13-108,SA13_108-04,-8.5,1039,16,0.281633,1E-05,0.00103
SA13-108,SA13_108-25,-8.3,933,16,0.282233,1E-05,0.00063
SA13-108,SA13-108-69,-8,986,19,0.282445,1.6E-05,0.00186
SA13-108,SA13-108-76,-7.8,581,15,0.282301,1E-05,2E-05
SA13-108,SA13_108-16,-7.5,1065,14,0.281984,1E-05,0.00066
SA13-108,SA13-108-59,-7.4,998,27,0.28225,8E-06,0.00104
SA13-108,SA13_108-24,-7.1,1024,16,0.282192,1.1E-05,0.0006
SA13-108,SA13_108-30,-6.5,673,12,0.282428,1.2E-05,0.00184
SA13-108,SA13-108-48,-6.1,1021,16,0.282468,1.4E-05,0.00162
SA13-108,SA13_108-26,-5.5,701,11,0.282468,8E-06,0.0006
SA13-108,SA13-108-73,-5.1,947,15,0.282177,1.1E-05,0.00058
SA13-108,SA13-108-70,-4.6,509,9,0.282358,1E-05,0.00034
SA13-108,SA13-108-86,-4.6,526,12,0.28233,1E-05,0.0005
SA13-108,SA13_108-23,-4.4,548,18,0.282451,1.2E-05,0.00092
SA13-108,SA13-108-62,-4.4,989,23,0.282345,1E-05,0.00131
SA13-108,SA13-108-81,-4.2,576,10,0.282447,9E-06,0.0004
SA13-108,SA13-108-46,-3.6,660,14,0.282444,9E-06,0.00065
SA13-108,SA13-108-57,-2.7,990,18,0.282307,1.1E-05,0.00034
SA13-108,SA13-108-79,-2.6,1067,17,0.281766,1.1E-05,0.00097
SA13-108,SA13-108-85,-2.6,1095,18,0.282212,1E-05,0.00066
SA13-108,SA13-108-56,-2.5,591,12,0.282217,2E-05,0.00333
SA13-108,SA13-108-88,-1.3,507,12,0.282219,1.5E-05,0.0004
SA13-108,SA13-108-61,-1,1111,20,0.282175,1E-05,0.00125
